GC_ID,ptype,group_id,snapform,x,y,z,vx,vy,vz,lx,ly,lz,ek,ep
121494478,dark,0,94,5.191035737014317,-0.3450589643252897,4.037290432694135,-297.4009,-23.723888,-232.47418,175.99752817015593,6.087941072971262,-225.77240228607712,71527.19304616051,6997.77
122413924,dark,0,94,1.2154946317969006,6.30584510317567,2.5806921836046968,-95.23446,175.01192,110.161285,243.00811556715246,-379.6712747893068,813.2597922081916,25917.14058718935,6489.498
119426396,dark,0,94,1.5405716401801328,0.016078216955065727,4.384351989850984,-81.510895,94.63035,13.829464,-414.6704023334657,-378.6777336767465,147.09538059626678,7895.0907522994385,-12124.325
55423942,star,0,95,-5.220776087378908,-2.5995336711785058,6.052803960796155,-82.47312,112.841995,63.722897,-848.6602910024702,-166.51066267825257,-803.5144470755937,11797.868478354532,15520.042
118272961,dark,0,100,2.374815205068444,-5.976036404710612,-4.038346158908098,-28.577154,-197.27068,176.29521,-1850.1938789585665,-303.26410881165793,-639.2595136700189,35406.190183758736,10270.233
118854993,dark,0,100,1.27628815996286,-2.3662933432206046,1.9760749474007753,-109.62857,-164.62296,188.75948,-121.35299305826408,-457.54575572326326,-469.51968547087154,37374.63771732338,-38785.74
119808309,dark,0,100,-4.271686008425604,2.2878293195099104,1.3229685663463897,-30.828024,223.22014,-188.22237,-725.9338749610679,-844.8113553336641,-882.9970856769796,43102.632209484,-18157.496
63991214,star,0,103,0.925030847240123,1.6246388313011266,2.6449902239328367,-174.1448,97.243774,29.955133,-208.5425596831645,-488.3207316393247,372.8759049829323,20340.037900921423,-34990.14
49489886,star,0,103,2.209973929580883,-13.15126646396675,6.572754705550324,191.21162,103.59858,-108.36942,744.2671069859075,1496.2807017588725,2743.6251797759382,29519.24245209666,45398.207
28735225,star,0,105,-5.650262478309742,1.5563431597038289,-9.42522424175695,70.689415,-236.39911,-71.81494,-2339.883304630991,-1072.0368564962673,1225.7000273839676,33019.45713222446,35644.547
45799891,star,0,105,-6.118425908716745,-4.861885396348953,14.507661963391001,16.563334,48.844135,126.60383,-1324.1475081670999,1014.9113875795258,-218.32019349938233,9344.312327561085,52515.11
59811577,star,0,105,-4.082300559566647,9.57060220229323,-2.8614969134432613,-169.10405,-181.79553,56.789524,23.30258986754052,715.722622140215,2360.5715932443723,32435.422399533098,29039.88
36654110,star,0,105,-2.504973276583769,-3.548672867596906,5.2420219219784485,-30.011467,109.95316,-97.66445,-229.7977020887712,-401.96760914779725,-381.9306139476589,11264.36462885188,4286.2734
122598060,dark,0,105,-19.702121992806497,-26.138442645402392,11.501991009929043,64.024734,20.515545,1.5767345,-277.18299831941147,767.4769369118338,1269.3070823403664,2261.270475400408,82491.76
120580966,dark,0,105,-6.9885157291646465,9.386614234106673,10.99531449398637,-9.349137,-55.125492,38.13654,964.0951063582652,163.72110093745005,473.00211390558906,2290.3108422784426,51189.31
123307525,dark,0,105,-25.15092864554026,-1.2662661618451239,-32.863321413293306,-87.47489,-88.53921,82.29613,-3013.9012336621863,4944.539506313872,2116.076793797906,11131.849480030243,91693.0
132922996,dark,0,105,0.6327594970935024,3.9124433049364598,4.181800532365742,-99.38113,-215.7615,-160.73145,273.41890989827493,-313.88769879950456,252.29788115935696,41132.11429467844,-1397.3531
55078845,star,0,106,-7.01748624801985,1.816936176350282,6.4588296292567975,161.89862,-133.49574,-101.10742,678.5205264602112,336.15566512185296,642.645078573833,27127.49411943555,23356.21
49675987,star,0,106,-4.537577887866064,11.784731440522592,-5.857888040103717,231.33655,-88.35963,-23.293694,-792.1107235400933,-1460.840545643637,-2325.3004001965287,30933.309182629455,43148.375
56255390,star,0,106,0.9940280999508104,1.0670747656477033,1.4500004381989129,335.3833,298.69586,57.058044,-372.2239311296977,429.5886336021762,-60.96697709877344,102478.40436566621,-64416.273
54388002,star,0,107,7.876261385172256,-5.053974627255229,0.7111969211837277,-21.767384,-175.43462,-180.95175,1039.2941207260467,1409.7423983836738,-1491.7806966152673,31997.331501916167,21127.527
56575672,star,0,107,6.76177475383156,14.501578047791554,0.9591013901954284,-60.641678,-18.709257,-22.748116,-311.93949841804476,95.65611581667784,752.8922418877283,2272.4631817802147,49624.29
47366303,star,0,107,0.11776290899433661,-0.4888562016931246,2.0776380291063106,-18.400944,17.865105,-50.193394,-12.579869069527387,-32.3195804638602,-6.891568776126759,1588.5666969747108,-64025.355
54215688,star,0,107,0.36208171526232036,-5.244118471746333,-4.8938426702297875,-227.8281,-253.57773,-138.73663,-513.4181654344001,1165.1888484104861,-1286.5733774628989,67727.577555981,9829.269
54218773,star,0,107,0.4852952080545947,-3.9306539133467595,-5.703449551372614,176.77492,119.314865,42.06971,515.1448445252603,-1028.6430530535617,752.7439539446528,23627.63363421068,8781.179
50233852,star,0,107,-21.744281991952448,35.56668754215207,-6.154705257293244,37.536194,49.57605,21.62014,1074.0827410581403,239.09021289822795,-2413.0336851014445,2167.0904017950234,89993.91
44414805,star,0,107,-2.861809718197037,-3.598418561858125,-8.625123656340293,167.24857,23.889725,179.35979,-439.3597568213899,-929.245978828299,533.4624967633484,30356.365703232586,29051.064
59102861,star,0,108,-0.8757532459203503,-3.1667774319721502,1.0289561212994158,-147.24333,39.194996,-131.41351,375.82741687081733,-266.592738416801,-500.6120053642309,20243.17858539708,-43032.164
64544832,star,0,108,-11.183857634110609,0.9994286864821333,-5.008236824884079,-26.317204,-214.32169,-75.22107,-1148.5518536719967,-709.4589427331983,2423.2453899369093,26142.293906271923,39426.617
42616731,star,0,108,16.712867426118464,7.7530597721997765,-2.601495200411591,-137.02289,6.600173,24.900894,210.22843921510406,-59.70095701595142,1172.6544585271513,9719.444483752479,56561.676
