GC_ID,quality,halo(z=0),logM(tform),zform,halo(zform),snapnum(zform),isMPB,feh,logM(z=0),t_dis,survive_flag,form_time,form_lbt,pubsnap(zform),last_snap,real_flag,accretion_flag,accretion_time,accretion_halo_tid,accretion_halo_cid,accretion_snapshot,pre_accretion_halo_tid,pre_accretion_halo_cid,pre_accretion_snapshot,survived_accretion,ptype,group_id
46193407,2,25236877,5.088,4.575,554987,75,1,-2.155,-1.0,9.201,0,1.349053044,12.449693839,77,400,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
122603767,0,25236877,4.228,4.478,591102,77,1,-2.143,-1.0,3.34,0,1.38483617,12.413910713,77,170,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
119998554,0,25236877,4.003,4.478,591102,77,1,-2.143,-1.0,2.24,0,1.38483617,12.413910713,77,121,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
51542567,2,25236877,5.164,4.385,628611,79,1,-2.128,-1.0,9.321,0,1.420916741,12.377830142,88,404,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
52098514,2,25236877,4.669,4.385,628611,79,1,-2.128,-1.0,5.011,0,1.420916741,12.377830142,88,238,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
56088715,2,25236877,4.247,4.385,628611,79,1,-2.128,-1.0,3.573,0,1.420916741,12.377830142,88,180,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
57866427,2,25236877,4.127,4.385,628611,79,1,-2.128,-1.0,3.559,0,1.420916741,12.377830142,88,179,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
57064054,2,25236877,4.332,4.385,628611,79,1,-2.128,-1.0,3.733,0,1.420916741,12.377830142,88,187,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
54917963,2,25236877,4.291,4.385,628611,79,1,-2.128,-1.0,3.002,0,1.420916741,12.377830142,88,156,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
50239418,2,25236877,4.52,4.385,628611,79,1,-2.128,-1.0,8.191,0,1.420916741,12.377830142,88,361,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
52457521,2,25236877,4.339,4.385,628611,79,1,-2.128,-1.0,3.43,0,1.420916741,12.377830142,88,174,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
56254935,2,25236877,4.194,4.385,628611,79,1,-2.128,-1.0,3.095,0,1.420916741,12.377830142,88,160,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
54913711,2,25236877,4.373,4.385,628611,79,1,-2.128,-1.0,4.143,0,1.420916741,12.377830142,88,204,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
53511049,2,25236877,4.095,4.385,628611,79,1,-2.128,-1.0,3.861,0,1.420916741,12.377830142,88,192,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
48146884,2,25236877,4.275,4.385,628611,79,1,-2.128,-1.0,5.029,0,1.420916741,12.377830142,88,239,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
57542937,2,25236877,4.076,4.385,628611,79,1,-2.128,-1.0,2.861,0,1.420916741,12.377830142,88,149,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
56424563,2,25236877,4.049,4.385,628611,79,1,-2.128,-1.0,3.032,0,1.420916741,12.377830142,88,157,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
61753509,1,25236877,5.478,4.339,647871,80,1,-2.106,4.034,-1.0,1,1.439067487,12.359679397,88,600,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
54394707,1,25236877,4.054,4.339,647871,80,1,-2.106,-1.0,3.293,0,1.439067487,12.359679397,88,168,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
54409584,2,25236877,4.131,4.339,647871,80,1,-2.106,-1.0,2.674,0,1.439067487,12.359679397,88,141,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
53875099,1,25236877,4.135,4.339,647871,80,1,-2.106,-1.0,2.984,0,1.439067487,12.359679397,88,155,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
54401532,1,25236877,4.526,4.339,647871,80,1,-2.106,-1.0,3.817,0,1.439067487,12.359679397,88,190,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
52089473,1,25236877,4.034,4.339,647871,80,1,-2.106,-1.0,3.497,0,1.439067487,12.359679397,88,177,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
51548967,1,25236877,4.3,4.339,647871,80,1,-2.106,-1.0,3.486,0,1.439067487,12.359679397,88,176,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
120189683,0,25236877,4.321,4.339,647871,80,1,-2.106,-1.0,2.852,0,1.439067487,12.359679397,88,149,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
119618196,0,25236877,4.075,4.339,647871,80,1,-2.106,-1.0,2.227,0,1.439067487,12.359679397,88,120,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
123501331,0,25236877,4.054,4.339,647871,80,1,-2.106,-1.0,2.888,0,1.439067487,12.359679397,88,151,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
120187631,0,25236877,4.029,4.339,647871,80,1,-2.106,-1.0,2.352,0,1.439067487,12.359679397,88,126,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
119235801,0,25236877,4.71,4.339,647871,80,1,-2.106,-1.0,5.043,0,1.439067487,12.359679397,88,240,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
122241196,0,25236877,4.215,4.339,647871,80,1,-2.106,-1.0,2.638,0,1.439067487,12.359679397,88,139,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
119998062,0,25236877,4.714,4.339,647871,80,1,-2.106,-1.0,4.644,0,1.439067487,12.359679397,88,224,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
119234263,0,25236877,4.089,4.339,647871,80,1,-2.106,-1.0,2.513,0,1.439067487,12.359679397,88,134,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
120763124,0,25236877,4.036,4.339,647871,80,1,-2.106,-1.0,2.751,0,1.439067487,12.359679397,88,144,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
122057941,0,25236877,4.279,4.339,647871,80,1,-2.106,-1.0,3.469,0,1.439067487,12.359679397,88,176,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
120376763,0,25236877,4.662,4.339,647871,80,1,-2.106,-1.0,4.947,0,1.439067487,12.359679397,88,236,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
120947256,0,25236877,4.227,4.339,647871,80,1,-2.106,-1.0,2.766,0,1.439067487,12.359679397,88,145,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
121136712,0,25236877,4.002,4.339,647871,80,1,-2.106,-1.0,2.432,0,1.439067487,12.359679397,88,130,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
120759958,0,25236877,4.011,4.339,647871,80,1,-2.106,-1.0,2.438,0,1.439067487,12.359679397,88,130,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
121503732,0,25236877,4.446,4.339,647871,80,1,-2.106,-1.0,4.333,0,1.439067487,12.359679397,88,211,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
120948825,0,25236877,4.518,4.339,647871,80,1,-2.106,-1.0,4.508,0,1.439067487,12.359679397,88,218,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
120187120,0,25236877,4.254,4.339,647871,80,1,-2.106,-1.0,2.744,0,1.439067487,12.359679397,88,144,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
119999074,0,25236877,4.278,4.339,647871,80,1,-2.106,-1.0,3.335,0,1.439067487,12.359679397,88,170,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
119235284,0,25236877,4.897,4.339,647871,80,1,-2.106,-1.0,5.091,0,1.439067487,12.359679397,88,242,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
119236320,0,25236877,4.121,4.339,647871,80,1,-2.106,-1.0,3.087,0,1.439067487,12.359679397,88,159,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
120752151,0,25236877,4.927,4.339,647871,80,1,-2.106,-1.0,5.613,0,1.439067487,12.359679397,88,262,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
120386700,0,25236877,4.18,4.339,647871,80,1,-2.106,-1.0,3.224,0,1.439067487,12.359679397,88,165,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
120566739,0,25236877,4.475,4.339,647871,80,1,-2.106,-1.0,3.798,0,1.439067487,12.359679397,88,189,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
119616143,0,25236877,4.037,4.339,647871,80,1,-2.106,-1.0,2.364,0,1.439067487,12.359679397,88,127,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
118466080,0,25236877,4.464,4.339,647871,80,1,-2.106,-1.0,3.9,0,1.439067487,12.359679397,88,194,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,dark,0
54052486,2,25236877,5.384,4.294,667350,81,1,-2.084,-1.0,8.76,0,1.457291302,12.341455582,88,382,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
54052513,2,25236877,4.353,4.294,667350,81,1,-2.084,-1.0,4.087,0,1.457291302,12.341455582,88,201,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
54053585,2,25236877,4.854,4.294,667350,81,1,-2.084,-1.0,7.01,0,1.457291302,12.341455582,88,316,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
51181207,2,25236877,4.391,4.294,667350,81,1,-2.084,-1.0,3.705,0,1.457291302,12.341455582,88,186,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
53702755,2,25236877,4.14,4.294,667350,81,1,-2.084,-1.0,3.31,0,1.457291302,12.341455582,88,169,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
62417144,2,25236877,4.231,4.294,667350,81,1,-2.084,-1.0,3.491,0,1.457291302,12.341455582,88,177,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
55593804,2,25236877,4.063,4.294,667350,81,1,-2.084,-1.0,2.905,0,1.457291302,12.341455582,88,151,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
54574267,1,25236877,4.199,4.294,667350,81,1,-2.084,-1.0,2.899,0,1.457291302,12.341455582,88,151,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
54225062,1,25236877,4.466,4.294,667350,81,1,-2.084,-1.0,6.556,0,1.457291302,12.341455582,88,298,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
55086857,1,25236877,4.547,4.294,667350,81,1,-2.084,-1.0,4.784,0,1.457291302,12.341455582,88,229,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
51181236,1,25236877,4.084,4.294,667350,81,1,-2.084,-1.0,3.314,0,1.457291302,12.341455582,88,169,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
56263946,1,25236877,4.462,4.294,667350,81,1,-2.084,-1.0,3.987,0,1.457291302,12.341455582,88,197,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
62419547,1,25236877,5.059,4.294,667350,81,1,-2.084,-1.0,7.902,0,1.457291302,12.341455582,88,350,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
53171058,1,25236877,4.056,4.294,667350,81,1,-2.084,-1.0,3.324,0,1.457291302,12.341455582,88,169,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
50256889,1,25236877,4.168,4.294,667350,81,1,-2.084,-1.0,3.038,0,1.457291302,12.341455582,88,157,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
63413283,1,25236877,4.706,4.294,667350,81,1,-2.084,-1.0,5.635,0,1.457291302,12.341455582,88,263,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
51369458,1,25236877,4.197,4.294,667350,81,1,-2.084,-1.0,3.438,0,1.457291302,12.341455582,88,174,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
60542957,1,25236877,4.076,4.294,667350,81,1,-2.084,-1.0,3.534,0,1.457291302,12.341455582,88,178,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
50994158,1,25236877,4.356,4.294,667350,81,1,-2.084,-1.0,4.26,0,1.457291302,12.341455582,88,208,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
50811712,1,25236877,4.898,4.294,667350,81,1,-2.084,-1.0,7.649,0,1.457291302,12.341455582,88,340,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
55257178,1,25236877,4.619,4.294,667350,81,1,-2.084,-1.0,4.78,0,1.457291302,12.341455582,88,229,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
54736221,2,25236877,5.009,4.25,687201,82,1,-2.067,-1.0,9.154,0,1.475587591,12.323159293,88,398,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
48728806,2,25236877,4.086,4.25,687201,82,1,-2.067,-1.0,3.12,0,1.475587591,12.323159293,88,161,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
50987321,2,25236877,4.062,4.25,687201,82,1,-2.067,-1.0,3.253,0,1.475587591,12.323159293,88,166,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
49672361,2,25236877,4.052,4.25,687201,82,1,-2.067,-1.0,2.738,0,1.475587591,12.323159293,88,144,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
54907473,2,25236877,4.614,4.25,687201,82,1,-2.067,-1.0,5.753,0,1.475587591,12.323159293,88,267,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
62920802,2,25236877,4.399,4.25,687201,82,1,-2.067,-1.0,4.282,0,1.475587591,12.323159293,88,209,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
62420541,2,25236877,4.338,4.25,687201,82,1,-2.067,-1.0,4.096,0,1.475587591,12.323159293,88,202,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
54391112,2,25236877,4.894,4.25,687201,82,1,-2.067,-1.0,7.468,0,1.475587591,12.323159293,88,333,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
57057454,2,25236877,5.289,4.207,707418,83,1,-2.055,4.191,-1.0,1,1.493956275,12.304790608,88,600,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
60388901,2,25236877,4.211,4.207,707418,83,1,-2.055,-1.0,3.326,0,1.493956275,12.304790608,88,170,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
50246187,2,25236877,4.197,4.207,707418,83,1,-2.055,-1.0,3.724,0,1.493956275,12.304790608,88,186,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
62676192,2,25236877,4.638,4.207,707418,83,1,-2.055,-1.0,6.116,0,1.493956275,12.304790608,88,281,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
58320221,2,25236877,4.281,4.207,707418,83,1,-2.055,-1.0,5.116,0,1.493956275,12.304790608,88,243,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
58318778,2,25236877,4.077,4.207,707418,83,1,-2.055,-1.0,3.69,0,1.493956275,12.304790608,88,185,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
58010524,1,25236877,4.342,4.207,707418,83,1,-2.055,-1.0,4.311,0,1.493956275,12.304790608,88,211,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
48539191,1,25236877,4.554,4.207,707418,83,1,-2.055,-1.0,4.863,0,1.493956275,12.304790608,88,233,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
51904739,1,25236877,4.582,4.207,707418,83,1,-2.055,-1.0,6.813,0,1.493956275,12.304790608,88,308,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
50245683,2,25236877,4.564,4.207,707418,83,1,-2.055,-1.0,5.116,0,1.493956275,12.304790608,88,243,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
60532159,2,25236877,4.044,4.207,707418,83,1,-2.055,-1.0,3.801,0,1.493956275,12.304790608,88,190,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
54907980,2,25236877,4.329,4.207,707418,83,1,-2.055,-1.0,3.884,0,1.493956275,12.304790608,88,193,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
52631292,2,25236877,5.457,4.081,770114,86,1,-2.036,-1.0,9.439,0,1.549491511,12.249255372,88,409,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
49679612,2,25236877,4.877,4.081,770114,86,1,-2.036,-1.0,6.922,0,1.549491511,12.249255372,88,312,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
50061388,2,25236877,4.21,4.081,770114,86,1,-2.036,-1.0,3.389,0,1.549491511,12.249255372,88,172,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
46591907,2,25236877,4.601,4.081,770114,86,1,-2.036,-1.0,6.121,0,1.549491511,12.249255372,88,282,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
55585410,2,25236877,4.017,4.081,770114,86,1,-2.036,-1.0,4.508,0,1.549491511,12.249255372,88,218,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
51182863,2,25236877,4.006,4.081,770114,86,1,-2.036,-1.0,3.338,0,1.549491511,12.249255372,88,170,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
59379784,2,25236877,4.288,4.081,770114,86,1,-2.036,-1.0,3.569,0,1.549491511,12.249255372,88,180,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
63045198,2,25236877,4.392,4.081,770114,86,1,-2.036,-1.0,3.87,0,1.549491511,12.249255372,88,192,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
56901705,2,25236877,4.048,4.081,770114,86,1,-2.036,-1.0,2.996,0,1.549491511,12.249255372,88,155,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
57387206,2,25236877,4.093,4.081,770114,86,1,-2.036,-1.0,3.473,0,1.549491511,12.249255372,88,176,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
53163721,2,25236877,4.035,4.081,770114,86,1,-2.036,-1.0,2.975,0,1.549491511,12.249255372,88,154,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
62800645,2,25236877,4.057,4.081,770114,86,1,-2.036,-1.0,3.222,0,1.549491511,12.249255372,88,165,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
62417160,2,25236877,4.153,4.081,770114,86,1,-2.036,-1.0,2.946,0,1.549491511,12.249255372,88,153,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
60685909,2,25236877,4.32,4.081,770114,86,1,-2.036,-1.0,4.468,0,1.549491511,12.249255372,88,217,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
51172757,2,25236877,4.049,4.081,770114,86,1,-2.036,-1.0,2.674,0,1.549491511,12.249255372,88,141,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
63531854,2,25236877,4.305,4.081,770114,86,1,-2.036,-1.0,3.621,0,1.549491511,12.249255372,88,182,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
59379287,2,25236877,5.411,4.081,770114,86,1,-2.036,-1.0,11.342,0,1.549491511,12.249255372,88,485,1,0,-1.0,-1,-1,-1,-1,-1,-1,-1,star,0
