# GC ID
47376767 2
58483763 2
45790232 2
57227092 2
54746639 2
50436122 2
55759197 2
62545938 2
57388839 2
60100154 2
61906039 2
55759176 2
59955518 2
55251361 2
57379601 2
48344921 2
48542857 2
46984874 2
60803990 2
54743557 2
52090544 2
52807767 2
49119719 2
62278606 2
63171360 2
61508466 2
56428822 2
46589290 2
54740356 2
56249243 2
55260869 2
59234181 2
61094098 2
48729889 2
60941757 2
63045197 2
62165920 2
60257432 2
49304986 2
61640942 2
49882070 2
46780186 2
52984946 2
59085220 2
56082489 2
46975036 2
50048406 2
50617134 2
47568603 2
56893701 2
63866666 2
51541076 2
49690194 2
57067588 2
50069422 2
56090813 2
52454935 2
50629338 2
49301866 2
48353448 2
63987645 2
44602145 2
50794584 2
49314652 2
57223485 2
62785698 2
55255480 2
62787509 2
59958845 2
62410586 2
53690266 2
49683840 2
60255400 2
49488961 2
51720683 2
64439473 2
53346429 2
62528893 2
51185001 2
52628690 2
46976521 2
50627276 2
64323899 2
61774454 2
56096596 2
56585143 2
62036223 2
57394542 2
59824206 2
61885542 2
46186812 2
53861645 2
59221981 2
51360941 2
63278972 2
45600602 2
61901603 2
59682860 2
62272728 2
53332685 2
62657487 2
47948232 2
63866660 2
50063994 2
53878818 2
53349081 2
52634531 2
50444178 2
54925418 2
59827261 2
47947693 2
62788897 2
63874733 2
45403251 2
52266158 2
62014543 2
58315832 2
63761892 2
51178077 1
52993935 1
47960182 1
59535570 1
44206635 1
49109084 1
47950790 1
50426737 1
46581595 1
63998931 1
52996999 1
54045699 1
52633382 1
54578508 1
51734309 1
45007876 1
61372627 1
50242045 1
50048267 1
58631637 1
49299748 1
61351931 1
61772449 1
52814557 1
52094791 1
42611684 1
46982752 1
55760692 1
61628743 1
55423375 1
53162162 1
49875082 1
62908759 1
49313028 1
48154285 1
55427074 1
51734374 1
41413499 1
55249291 1
52999676 1
48145862 1
60816932 1
50444676 1
47756673 1
52995956 1
59082208 1
62160529 1
62033801 1
60113255 1
48150559 1
55594317 1
60960440 1
53876146 1
49308237 1
59235697 1
61089267 1
55256560 1
55753922 1
54229852 1
55252893 1
56098179 1
52082693 1
53522323 1
62918895 1
49497441 1
53699100 1
48528752 1
47571225 1
56584044 1
50629864 1
56584541 1
49110213 1
48340172 1
55077458 1
40619362 1
60680865 1
53697525 1
61373614 1
53880450 1
44009793 1
55764456 1
51549982 1
57069220 1
51725294 1
57546577 1
59238253 1
46791608 1
59960384 1
62400970 1
59972713 1
61372090 1
54039543 1
55084667 1
56749014 1
53163668 1
56090224 1
46988549 1
58314838 1
49668815 1
56258061 1
61508482 1
122776884 0
120946206 0
119621824 0
119997529 0
119998555 0
120566740 0
119618196 0
121679901 0
120564173 0
119043490 0
120377790 0
119617681 0
126279776 0
121308366 0
